State before win,Win action,Reward
XXOOX  O ,XXOOX XO ,0.0
XXOOX XO ,XXOOXOXO ,0.0
XXOOXOXO ,XXOOXOXOX,1.0
X        ,X     O  ,0.0
X     O  ,X X   O  ,0.0
X X   O  ,X X  OO  ,0.0
X X  OO  ,X XX OO  ,0.0
X XX OO  ,XOXX OO  ,0.0
XOXX OO  ,XOXX OO X,0.0
XOXX OO X,XOXX OOOX,0.0
XOXX OOOX,XOXXXOOOX,1.0
 X       ,OX       ,0.0
OX       ,OX  X    ,0.0
OX  X    ,OX OX    ,0.0
OX OX    ,OXXOX    ,0.0
OXXOX    ,OXXOX O  ,-1.0
       XO,    X  XO,0.0
    X  XO,   OX  XO,0.0
   OX  XO,  XOX  XO,0.0
  XOX  XO,O XOX  XO,0.0
O XOX  XO,O XOXX XO,0.0
O XOXX XO,OOXOXX XO,0.0
OOXOXX XO,OOXOXXXXO,1.0
X       O,X  X    O,0.0
X  X    O,X  X O  O,0.0
X  X O  O,X XX O  O,0.0
X XX O  O,X XX OO O,0.0
X XX OO O,XXXX OO O,1.0
   X   O , X X   O ,0.0
 X X   O , X X  OO ,0.0
 X X  OO , X X  OOX,0.0
 X X  OOX, XOX  OOX,0.0
 XOX  OOX, XOXX OOX,0.0
 XOXX OOX,OXOXX OOX,0.0
OXOXX OOX,OXOXXXOOX,1.0
OX       ,OXX      ,0.0
OXX      ,OXXO     ,0.0
OXXO     ,OXXO  X  ,0.0
OXXO  X  ,OXXOO X  ,0.0
OXXOO X  ,OXXOOXX  ,0.0
OXXOOXX  ,OXXOOXX O,-1.0
    X    ,   OX    ,0.0
   OX    , X OX    ,0.0
 X OX    ,OX OX    ,0.0
OX OX    ,OX OX  X ,1.0
O    X   ,O    XX  ,0.0
O    XX  ,O    XXO ,0.0
O    XXO ,O X  XXO ,0.0
O X  XXO ,O X OXXO ,0.0
O X OXXO ,O X OXXOX,1.0
  X    O ,  X X  O ,0.0
  X X  O ,  X XO O ,0.0
  X XO O ,  X XO OX,0.0
  X XO OX,O X XO OX,0.0
O X XO OX,OXX XO OX,0.0
OXX XO OX,OXX XOOOX,0.0
OXX XOOOX,OXXXXOOOX,0.0
  X      ,  X  O   ,0.0
  X  O   , XX  O   ,0.0
 XX  O   , XX  OO  ,0.0
 XX  OO  ,XXX  OO  ,1.0
        X,O       X,0.0
O       X,OX      X,0.0
OX      X,OX O    X,0.0
OX O    X,OX O   XX,0.0
OX O   XX,OX O O XX,0.0
OX O O XX,OXXO O XX,0.0
OXXO O XX,OXXOOO XX,-1.0
     OX  ,     OXX ,0.0
     OXX ,O    OXX ,0.0
O    OXX ,O  X OXX ,0.0
O  X OXX ,O  XOOXX ,0.0
O  XOOXX ,OX XOOXX ,0.0
OX XOOXX ,OX XOOXXO,-1.0
    OX   ,   XOX   ,0.0
   XOX   , O XOX   ,0.0
 O XOX   , O XOX X ,0.0
 O XOX X , OOXOX X ,0.0
 OOXOX X , OOXOXXX ,0.0
 OOXOXXX ,OOOXOXXX ,-1.0
 X       , X O     ,0.0
 X O     , X O    X,0.0
 X O    X,OX O    X,0.0
OX O O XX,OX O OXXX,1.0
  OXX    ,  OXX   O,0.0
  OXX   O, XOXX   O,0.0
 XOXX   O,OXOXX   O,0.0
OXOXX   O,OXOXX  XO,1.0
      X  ,    O X  ,0.0
    O X  ,    O X X,0.0
    O X X,O   O X X,0.0
O   O X X,O   O XXX,1.0
    X   O,  X X   O,0.0
  X X   O, OX X   O,0.0
 OX X   O, OX X X O,1.0
       X ,     O X ,0.0
     O X ,   X O X ,0.0
   X O X , O X O X ,0.0
 O X O X , O X O XX,0.0
 O X O XX, O X OOXX,0.0
 O X OOXX, OXX OOXX,0.0
 OXX OOXX,OOXX OOXX,0.0
OOXX OOXX,OOXXXOOXX,0.0
O       X,O      XX,0.0
O      XX,O     OXX,0.0
O     OXX,O    XOXX,0.0
O    XOXX,O   OXOXX,0.0
O   OXOXX,O X OXOXX,1.0
  X    O , XX    O ,0.0
 XX    O ,OXX    O ,0.0
OXX    O ,OXX X  O ,0.0
OXX X  O ,OXX X OO ,0.0
OXX X OO ,OXXXX OO ,0.0
OXXXX OO ,OXXXXOOO ,0.0
OXXXXOOO ,OXXXXOOOX,0.0
        X,    O   X,0.0
    O   X,    O  XX,0.0
    O  XX, O  O  XX,0.0
 O  O  XX, OX O  XX,0.0
 OX O  XX, OXOO  XX,0.0
 OXOO  XX, OXOO XXX,1.0
     X   ,  O  X   ,0.0
  O  X   ,  O  XX  ,0.0
  O  XX  ,  O  XXO ,0.0
  O  XXO , XO  XXO ,0.0
 XO  XXO ,OXO  XXO ,0.0
OXO  XXO ,OXO  XXOX,0.0
OXO  XXOX,OXO OXXOX,0.0
OXO OXXOX,OXOXOXXOX,0.0
X        ,X      O ,0.0
X      O ,X  X   O ,0.0
X  X   O ,X  X  OO ,0.0
X  X  OO ,X  X XOO ,0.0
X  X XOO ,X OX XOO ,0.0
X OX XOO ,X OXXXOO ,1.0
X        ,XO       ,0.0
XO       ,XO     X ,0.0
XO     X ,XO O   X ,0.0
XO O   X ,XO O X X ,0.0
XO O X X ,XO O X XO,0.0
XO O X XO,XO O XXXO,0.0
XO O XXXO,XOOO XXXO,0.0
XOOO XXXO,XOOOXXXXO,0.0
      XO ,  X   XO ,0.0
  X   XO ,  X  OXO ,0.0
  X  OXO , XX  OXO ,0.0
 XX  OXO , XX  OXOO,0.0
 XX  OXOO, XXX OXOO,0.0
 XXX OXOO, XXXOOXOO,0.0
 XXXOOXOO,XXXXOOXOO,1.0
    X    ,O   X    ,0.0
O   X    ,OX  X    ,0.0
OX  X    ,OX  X O  ,0.0
OX  X O  ,OX  XXO  ,0.0
OX  XXO  ,OX OXXO  ,-1.0
   OX    ,   OX   X,0.0
   OX   X,   OX O X,0.0
   OX O X, X OX O X,0.0
 X OX O X, X OX OOX,0.0
 X OX OOX,XX OX OOX,1.0
     X   , O   X   ,0.0
 O   X   ,XO   X   ,0.0
XO   X   ,XO  OX   ,0.0
XO  OX   ,XO  OX X ,0.0
XO  OX X ,XO OOX X ,0.0
XO OOX X ,XO OOX XX,0.0
XO OOX XX,XOOOOX XX,0.0
XOOOOX XX,XOOOOXXXX,1.0
XO       ,XO  X    ,0.0
XO  X    ,XO  XO   ,0.0
XO  XO   ,XO XXO   ,0.0
XO XXO   ,XO XXOO  ,0.0
XO XXOO  ,XO XXOO X,1.0
     OX  ,    XOX  ,0.0
    XOX  , O  XOX  ,0.0
 O  XOX  , O  XOXX ,0.0
 O  XOXX , OO XOXX ,0.0
 OO XOXX , OO XOXXX,1.0
  X  O   ,  X XO   ,0.0
  X XO   ,  X XOO  ,0.0
  X XOO  ,  X XOOX ,0.0
  X XOOX , OX XOOX ,0.0
 OX XOOX , OX XOOXX,0.0
 OX XOOXX,OOX XOOXX,0.0
OOX XOOXX,OOXXXOOXX,0.0
  O   X  ,X O   X  ,0.0
X O   X  ,X O   X O,0.0
X O   X O,XXO   X O,0.0
XXO   X O,XXOO  X O,0.0
XXOO  X O,XXOOX X O,0.0
XXOOX X O,XXOOXOX O,-1.0
       XO,  X    XO,0.0
  X    XO,  X  O XO,0.0
  X  O XO,  X XO XO,0.0
  X XO XO, OX XO XO,0.0
 OX XO XO, OX XOXXO,1.0
  X      ,  X   O  ,0.0
  X   O  ,  X   O X,0.0
  X   O X,  XO  O X,0.0
  XO  O X,  XOX O X,0.0
  XOX O X,  XOXOO X,0.0
  XOXOO X, XXOXOO X,0.0
 XXOXOO X,OXXOXOO X,-1.0
 X      O, X   X  O,0.0
 X   X  O, X   X OO,0.0
 X   X OO,XX   X OO,0.0
XX   X OO,XX  OX OO,0.0
XX  OX OO,XX  OXXOO,0.0
XX  OXXOO,XX OOXXOO,0.0
XX OOXXOO,XXXOOXXOO,1.0
     X   ,     XO  ,0.0
     XO  ,     XO X,0.0
     XO X,     XOOX,0.0
     XOOX,  X  XOOX,1.0
     O  X, X   O  X,0.0
 X   O  X,OX   O  X,0.0
OX   O  X,OX   OX X,0.0
OX   OX X,OX  OOX X,0.0
OX  OOX X,OX  OOXXX,1.0
 X O     , X OX    ,0.0
  X      ,  X O    ,0.0
  X O    ,  X O   X,0.0
  X O   X,  XOO   X,0.0
  XOO   X,  XOO  XX,0.0
  XOO  XX, OXOO  XX,0.0
 O  X    , O  X X  ,0.0
 O  X X  , O  XOX  ,0.0
 O  XOX  , OX XOX  ,1.0
       XO,X      XO,0.0
X      XO,X  O   XO,0.0
X  O   XO,X  O  XXO,0.0
X  O  XXO,XO O  XXO,0.0
XO O  XXO,XOXO  XXO,0.0
XOXO  XXO,XOXO OXXO,0.0
XOXO OXXO,XOXOXOXXO,1.0
O    X   ,O   XX   ,0.0
O   XX   ,O  OXX   ,0.0
O  OXX   ,O  OXXX  ,0.0
O  OXXX  ,O OOXXX  ,0.0
O OOXXX  ,OXOOXXX  ,0.0
OXOOXXX  ,OXOOXXXO ,0.0
OXOOXXXO ,OXOOXXXOX,0.0
  O X    ,  O XX   ,0.0
  O XX   ,  OOXX   ,0.0
  OOXX   ,  OOXX X ,0.0
  OOXX X ,  OOXXOX ,0.0
  OOXXOX ,  OOXXOXX,0.0
  OOXXOXX,O OOXXOXX,-1.0
   XO    ,   XO   X,0.0
   XO   X, O XO   X,0.0
 O XO   X, O XO  XX,0.0
 O XO  XX, O XO OXX,0.0
 O XO OXX,XO XO OXX,0.0
XO XO OXX,XO XOOOXX,0.0
XO XOOOXX,XOXXOOOXX,0.0
X        ,X   O    ,0.0
X   O    ,X   O  X ,0.0
X   O  X ,X O O  X ,0.0
X O O  X ,X OXO  X ,0.0
X OXO  X ,XOOXO  X ,0.0
XOOXO  X ,XOOXO  XX,0.0
XOOXO  XX,XOOXOO XX,0.0
XOOXOO XX,XOOXOOXXX,1.0
XO       ,XO    X  ,0.0
XO    X  ,XOO   X  ,0.0
XOO   X  ,XOO   XX ,0.0
XOO   XX ,XOO  OXX ,0.0
XOO  OXX ,XOOX OXX ,1.0
X   X   O,X  OX   O,0.0
X  OX   O,XX OX   O,0.0
XX OX   O,XX OXO  O,0.0
XX OXO  O,XXXOXO  O,1.0
   X O  X,   X OO X,0.0
   X OO X,   XXOO X,0.0
   XXOO X, O XXOO X,0.0
 O XXOO X, OXXXOO X,0.0
 OXXXOO X,OOXXXOO X,0.0
OOXXXOO X,OOXXXOOXX,0.0
     O X , X   O X ,0.0
 X   O X , X   O XO,0.0
 X   O XO, X X O XO,0.0
 X X O XO, XOX O XO,-1.0
       X ,O      X ,0.0
O      X ,O   X  X ,0.0
O   X  X ,O   X OX ,0.0
O   X OX ,O   XXOX ,0.0
O   XXOX ,O O XXOX ,0.0
O O XXOX ,O O XXOXX,0.0
O O XXOXX,O OOXXOXX,-1.0
  X      , OX      ,0.0
 OX      , OX X    ,0.0
 OX X    , OXOX    ,0.0
 OXOX    , OXOX  X ,0.0
 OXOX  X ,OOXOX  X ,0.0
OOXOX  X ,OOXOX  XX,0.0
OOXOX  XX,OOXOX OXX,-1.0
   X     ,   X O   ,0.0
   X O   ,X  X O   ,0.0
X  X O   ,X OX O   ,0.0
X OX O   ,X OX O X ,0.0
X OX O X ,X OX O XO,-1.0
   X    O,  XX    O,0.0
  XX    O,  XX   OO,0.0
  XX   OO,  XXX  OO,0.0
  XXX  OO, OXXX  OO,0.0
 OXXX  OO,XOXXX  OO,0.0
XOXXX  OO,XOXXX OOO,-1.0
    X   O,   XX   O,0.0
   XX   O,   XXO  O,0.0
   XXO  O,X  XXO  O,0.0
X  XXO  O,X OXXO  O,-1.0
X        ,X  O     ,0.0
X  O     ,X  O X   ,0.0
X  O X   ,X  OOX   ,0.0
X  OOX   ,X XOOX   ,0.0
X XOOX   ,X XOOXO  ,0.0
X XOOXO  ,XXXOOXO  ,1.0
     X   ,     X O ,0.0
     X O ,X    X O ,0.0
X    X O ,X    X OO,0.0
X    X OO,XX   X OO,0.0
XX   X OO,XX   XOOO,-1.0
     X   ,   O X   ,0.0
   O X   ,  XO X   ,0.0
  XO X   , OXO X   ,0.0
 OXO X   , OXO X X ,0.0
 OXO X X ,OOXO X X ,0.0
OOXO X X ,OOXO XXX ,0.0
OOXO XXX ,OOXOOXXX ,0.0
OOXOOXXX ,OOXOOXXXX,1.0
  X X   O,  X XO  O,0.0
  X XO  O, XX XO  O,0.0
 XX XO  O, XX XOO O,0.0
 XX XOO O, XX XOOXO,1.0
       X ,   O   X ,0.0
   O   X ,   O  XX ,0.0
   O  XX ,  OO  XX ,0.0
  OO  XX ,X OO  XX ,0.0
X OO  XX ,X OOO XX ,0.0
X OOO XX ,X OOO XXX,1.0
       X ,      OX ,0.0
      OX ,    X OX ,0.0
    X OX ,O   X OX ,0.0
O   X OX ,O   X OXX,0.0
O   X OXX,O O X OXX,0.0
O O X OXX,O O XXOXX,0.0
O O XXOXX,OOO XXOXX,-1.0
 O X     , O X   X ,0.0
 O X   X ,OO X   X ,0.0
OO X   X ,OO X X X ,0.0
OO X X X ,OOOX X X ,-1.0
 X   O   , X   OX  ,0.0
 X   OX  , X O OX  ,0.0
 X O OX  , X O OX X,0.0
 X O OX X, XOO OX X,0.0
 XOO OX X, XOO OXXX,1.0
    X    ,    X O  ,0.0
    X O  ,  X X O  ,0.0
  X X O  ,  X X O O,0.0
  X X O O,  X XXO O,0.0
  X XXO O,O X XXO O,0.0
O X XXO O,O X XXOXO,0.0
O X XXOXO,O XOXXOXO,-1.0
      X  , O    X  ,0.0
 O    X  , O   XX  ,0.0
 O   XX  , OO  XX  ,0.0
 OO  XX  , OO XXX  ,0.0
 OO XXX  ,OOO XXX  ,-1.0
OX X     ,OX X O   ,0.0
OX X O   ,OXXX O   ,0.0
OXXX O   ,OXXX O  O,0.0
OXXX O  O,OXXX OX O,0.0
OXXX OX O,OXXX OXOO,0.0
OXXX OXOO,OXXXXOXOO,1.0
X   O    ,X X O    ,0.0
X X O    ,X X OO   ,0.0
X X OO   ,X XXOO   ,0.0
X XXOO   ,XOXXOO   ,0.0
XOXXOO   ,XOXXOOX  ,1.0
  X   O  , XX   O  ,0.0
 XX   O  , XX O O  ,0.0
 XX O O  , XXXO O  ,0.0
 XXXO O  , XXXOOO  ,0.0
 XXXOOO  , XXXOOO X,0.0
 X OX    , X OXO   ,0.0
 X OXO   , X OXO  X,0.0
 X OXO  X, X OXO OX,0.0
 X OXO OX, X OXOXOX,0.0
 X OXOXOX, XOOXOXOX,0.0
 XOOXOXOX,XXOOXOXOX,1.0
    O X  ,    OXX  ,0.0
    OXX  , O  OXX  ,0.0
 O  OXX  , O XOXX  ,0.0
 O XOXX  , OOXOXX  ,0.0
 OOXOXX  , OOXOXX X,0.0
 OOXOXX X, OOXOXXOX,-1.0
      X O,      XXO,0.0
      XXO,O     XXO,0.0
O     XXO,O  X  XXO,0.0
O  X  XXO,O OX  XXO,0.0
O OX  XXO,OXOX  XXO,0.0
OXOX  XXO,OXOX OXXO,-1.0
  O X    ,X O X    ,0.0
X O X    ,XOO X    ,0.0
XOO X    ,XOO X X  ,0.0
XOO X X  ,XOO XOX  ,0.0
XOO XOX  ,XOOXXOX  ,1.0
O  X     ,O XX     ,0.0
O XX     ,O XXO    ,0.0
O XXO    ,O XXO X  ,0.0
O XXO X  ,O XXO X O,-1.0
      X O,    X X O,0.0
    X X O,O   X X O,0.0
O   X X O,OX  X X O,0.0
OX  X X O,OX OX X O,0.0
OX OX X O,OXXOX X O,1.0
O   X    ,O X X    ,0.0
O X X    ,O X XO   ,0.0
O X XO   ,O X XOX  ,1.0
 X   O XO, X   OXXO,0.0
 X   OXXO,OX   OXXO,0.0
OX   OXXO,OX X OXXO,0.0
OX X OXXO,OXOX OXXO,-1.0
    OXX  ,   OOXX  ,0.0
   OOXX  , X OOXX  ,0.0
 X OOXX  , X OOXXO ,0.0
 X OOXXO ,XX OOXXO ,0.0
XX OOXXO ,XXOOOXXO ,0.0
XXOOOXXO ,XXOOOXXOX,0.0
OX X   O ,OX XX  O ,0.0
OX XX  O ,OX XX OO ,0.0
OX XX OO ,OX XXXOO ,1.0
  X      ,  XO     ,0.0
  XO     ,  XO   X ,0.0
  XO   X ,  XOO  X ,0.0
  XOO  X ,X XOO  X ,0.0
X XOO  X ,XOXOO  X ,0.0
XOXOO  X ,XOXOO  XX,0.0
XOXOO  XX,XOXOOO XX,-1.0
 X XO    , XOXO    ,0.0
 XOXO    , XOXO   X,0.0
 XOXO   X, XOXOO  X,0.0
 XOXOO  X, XOXOO XX,0.0
 XOXOO XX, XOXOOOXX,-1.0
  O   X  ,  O X X  ,0.0
  O X X  ,O O X X  ,0.0
O O X X  ,O O XXX  ,0.0
O O XXX  ,O OOXXX  ,0.0
O OOXXX  ,O OOXXX X,0.0
O OOXXX X,O OOXXXOX,0.0
O OOXXXOX,OXOOXXXOX,0.0
       X ,    O  X ,0.0
    O  X ,X   O  X ,0.0
X   O  X ,X   O  XO,0.0
X   O  XO,X   O XXO,0.0
X   O XXO,X O O XXO,0.0
X O O XXO,X OXO XXO,1.0
      XO ,     XXO ,0.0
     XXO , O   XXO ,0.0
 O   XXO , O  XXXO ,0.0
 O  XXXO , OO XXXO ,0.0
 OO XXXO , OOXXXXO ,1.0
  O  X   ,  O XX   ,0.0
  O XX   ,  O XX  O,0.0
  O XX  O,  O XXX O,0.0
  O XXX O,O O XXX O,0.0
O O XXX O,O OXXXX O,1.0
 O    X  , O    XX ,0.0
 O    XX , O  O XX ,0.0
 O  O XX , OX O XX ,0.0
 OX O XX , OX O XXO,0.0
 OX O XXO, OX OXXXO,0.0
 OX OXXXO,OOX OXXXO,-1.0
 XX   O  , XXO  O  ,0.0
 XXO  O  , XXOX O  ,0.0
 XXOX O  , XXOX OO ,0.0
 XXOX OO , XXOX OOX,0.0
 XXOX OOX, XXOXOOOX,0.0
 XXOXOOOX,XXXOXOOOX,1.0
  X  O   ,  X  O X ,0.0
  X  O X ,O X  O X ,0.0
O X  O X ,O X XO X ,0.0
O X XO X ,O XOXO X ,0.0
O XOXO X ,OXXOXO X ,1.0
        X, O      X,0.0
 O      X, O    X X,0.0
 O    X X, O    XOX,0.0
 O    XOX,XO    XOX,0.0
XO    XOX,XO  O XOX,-1.0
  O X    ,  OXX    ,0.0
X OXXO   ,X OXXO  O,-1.0
    O  X ,    O XX ,0.0
    O XX ,  O O XX ,0.0
  O O XX ,  O O XXX,1.0
    O   X,  X O   X,0.0
